process_dt,ranking,cpu,manufacturer,gpu,score
2023-01-07,108,Helio G70,MediaTek,Mali-G52 2EEMC2,29
2023-01-07,109,Kirin 710F,HiSilicon,Mali-G51 MP4,29
2023-01-07,110,Snapdragon 665,Qualcomm,Adreno 610,29
2023-01-07,111,Tiger T612,Unisoc,Mali-G57 MP1,28
2023-01-07,112,Exynos 850,Samsung,Mali-G52 MP1,28
2023-01-07,113,Helio P65,MediaTek,Mali-G52 MC2,28
2023-01-07,114,Helio P70,MediaTek,Mali-G72 MP3,28
2023-01-07,115,Kirin 710,HiSilicon,Mali-G51 MP4,28
2023-01-07,116,Exynos 8890,Samsung,Mali-T880 MP12,28
2023-01-07,117,Exynos 9610,Samsung,Mali-G72 MP3,28
2023-01-07,118,Snapdragon 460,Qualcomm,Adreno 610,27
2023-01-07,119,Helio P60,MediaTek,Mali-G72 MP3,27
2023-01-07,120,Snapdragon 660,Qualcomm,Adreno 512,27
2023-01-07,121,Unisoc T606,Unisoc,Mali-G57 MP1,26
2023-01-07,122,Tiger T610,Unisoc,ARM Mali G52 MP2,26
2023-01-07,123,Exynos 7904,Samsung,Mali-G71 MP2,26
2023-01-07,124,Helio G37,MediaTek,PowerVR GE8320,25
2023-01-07,125,Snapdragon 636,Qualcomm,Adreno 509,25
2022-11-07,1,A16 Bionic,Apple,Apple GPU,100
2022-11-07,7,A14 Bionic,Apple,Apple GPU,93
2022-11-07,10,Snapdragon 888,Qualcomm,Adreno 660,90
2022-11-07,14,Exynos 2100,Samsung,Mali-G78 MP14,85
2022-11-07,16,A13 Bionic,Apple,Apple A13 Bionic GPU,82
2022-11-07,19,Exynos 1080,Samsung,Mali-G78 MP10,78
2022-11-07,29,A12 Bionic,Apple,Apple A12 Bionic GPU,68
2022-11-07,46,Kirin 820,HiSilicon,Mali-G57 MP6,55
2022-11-07,50,A11 Bionic,Apple,Apple GPU,53
2022-11-07,53,Exynos 9810,Samsung,Mali-G72MP18,51
2022-11-07,54,Snapdragon 4 Gen 1,Qualcomm,Adreno,49
2022-11-07,62,Kirin 810,HiSilicon,Mali-G52 MP6,47
2022-11-07,67,Helio G95,MediaTek,Mali-G76 3EEMC4,44
2022-11-07,72,Helio G90,MediaTek,Mali-G76 MC4,43
2022-11-07,80,Kirin 970,HiSilicon,Mali G72 MP12,40
2022-11-07,92,Helio G80,MediaTek,Mali-G52 MP2,33
2022-11-07,93,Helio P95,MediaTek,PowerVR GM9446,33
2022-11-07,97,Apple A9,Apple,PowerVR GT7600,32
2022-11-07,98,Exynos 9609,Samsung,Mali-G72 MP3,32
2022-11-07,101,Tiger T700,Unisoc,ARM Mali-G52 MC2,31
2022-11-07,105,Tiger T616,Unisoc,Mali-G57 MP1,30
2022-11-07,109,Kirin 710,HiSilicon,Mali-G51 MP4,30
2022-11-07,110,Exynos 9610,Samsung,Mali-G72 MP3,30
2022-11-07,111,Kirin 710A,HiSilicon,Mali-G51,29
2022-11-07,115,Tiger T612,Unisoc,Mali-G57 MP1,28
2022-11-07,118,Unisoc T606,Unisoc,Mali-G57 MP1,27
2022-11-07,119,Helio G37,MediaTek,PowerVR GE8320,27
2022-11-07,123,Exynos 7420,Samsung,Mali-T760 MP8,25
2022-11-07,2,Dimensity 9000 Plus,MediaTek,Mali-G710 MC10,97
2022-11-07,3,Snapdragon 8 Plus Gen 1,Qualcomm,Adreno 730,97
2022-11-07,6,Snapdragon 8 Gen 1,Qualcomm,Adreno 730,94
2022-11-07,11,Dimensity 8100,MediaTek,Mali-G610 MC6,89
2022-11-07,15,Kirin 9000,HiSilicon,Mali-G78 MP24,85
2022-11-07,20,Snapdragon 865 Plus,Qualcomm,Adreno 650,78
2022-11-07,23,Dimensity 1200,MediaTek,Mali-G77 MC9,77
2022-11-07,24,Snapdragon 865,Qualcomm,Adreno 650,74
2022-11-07,27,Snapdragon 7 Gen 1,Qualcomm,Adreno 662,70
2022-11-07,28,Dimensity 1000 Plus,MediaTek,Mali-G77 MC9,69
2022-11-07,32,Kirin 990 (5G),HiSilicon,Mali G76 MP16,65
2022-11-07,33,Snapdragon 778G Plus,Qualcomm,Adreno 642L,64
2022-11-07,36,Snapdragon 778G,Qualcomm,Adreno 642L,62
2022-11-07,37,Snapdragon 780G,Qualcomm,Adreno 642,62
2022-11-07,40,Dimensity 1000,MediaTek,Mali-G77 MP9,60
2022-11-07,41,Dimensity 920,MediaTek,Mali-G68 MC4,59
2022-11-07,42,Dimensity 1000L,MediaTek,Mali-G77 MC9,57
2022-11-07,45,Dimensity 900,MediaTek,Mali-G68 MC4,55
2022-11-07,49,Snapdragon 768G,Qualcomm,Adreno 620,54
2022-11-07,55,Dimensity 810,MediaTek,Mali-G57 MC2,49
2022-11-07,58,Snapdragon 765G,Qualcomm,Adreno 620,49
2022-11-07,59,Snapdragon 765,Qualcomm,Adreno 620,48
2022-11-07,63,Dimensity 800,MediaTek,Mali-G57 MC4,46
2022-11-07,66,Dimensity 700,MediaTek,Mali-G57 MC2,44
2022-11-07,70,Snapdragon 720G,Qualcomm,Adreno 618,44
2022-11-07,71,Snapdragon 480 Plus,Qualcomm,Adreno 619,43
2022-11-07,75,Snapdragon 835,Qualcomm,Adreno 540,42
2022-11-07,76,Snapdragon 730,Qualcomm,Adreno 618,42
2022-11-07,79,Snapdragon 480,Qualcomm,Adreno 619,40
2022-11-07,83,Snapdragon 712,Qualcomm,Adreno 616,38
2022-11-07,84,Snapdragon 678,Qualcomm,Adreno 612,37
2022-11-07,85,Snapdragon 710,Qualcomm,Adreno 616,36
2022-11-07,88,Snapdragon 820,Qualcomm,Adreno 530,34
2022-11-07,89,Snapdragon 675,Qualcomm,Adreno 612,34
2022-11-07,96,Snapdragon 670,Qualcomm,Adreno 615,33
2022-11-07,102,Snapdragon 662,Qualcomm,Adreno 610,31
2022-11-07,106,Kirin 710F,HiSilicon,Mali-G51 MP4,30
2022-11-07,114,Snapdragon 660,Qualcomm,Adreno 512,29
2022-11-07,122,Helio G35,MediaTek,IMG PowerVR GE8320,25
2022-11-07,90,Helio G88,MediaTek,Mali-G52 MC2,33
2022-11-07,91,Helio G85,MediaTek,Mali-G52 MP2,33
2022-11-07,107,Helio P65,MediaTek,Mali-G52 MC2,30
2022-11-07,108,Helio P70,MediaTek,Mali-G72 MP3,30
2022-11-07,120,Snapdragon 636,Qualcomm,Adreno 509,26
2022-11-07,121,Snapdragon 632,Qualcomm,Adreno 506,26
2022-11-07,12,Tensor G2,Google,Mali-G710 MP7,88
2022-11-07,13,Google Tensor,Google,Mali-G78 MP20,86
2022-11-07,21,Dimensity 1300,MediaTek,Mali-G77 MC9,77
2022-11-07,22,Dimensity 8000,MediaTek,Mali-G610 MC6,77
2022-11-07,43,Kirin 980,HiSilicon,Mali G76 MP10,57
2022-11-07,44,Kirin 985,HiSilicon,Mali-G77 MP8,56
2022-11-07,51,Snapdragon 845,Qualcomm,Adreno 630,52
2022-11-07,52,Snapdragon 695,Qualcomm,Adreno 619,51
2022-11-07,4,A15 Bionic,Apple,Apple GPU,97
2022-11-07,5,Dimensity 9000,MediaTek,Mali-G710,96
2022-11-07,25,Dimensity 1100,MediaTek,Mali-G77 MC9,72
2022-11-07,26,Exynos 990,Samsung,Mali-G77 MP11,71
2022-11-07,30,Snapdragon 860,Qualcomm,Adreno 640,67
2022-11-07,31,Snapdragon 855 Plus,Qualcomm,Adreno 640,67
2022-11-07,47,Exynos 1280,Samsung,Mali-G68,54
2022-11-07,48,Dimensity 820,MediaTek,Mali-G57 MC5,54
2022-11-07,56,Dimensity 800U,MediaTek,Mali-G57 MC3,49
2022-11-07,57,Exynos 980,Samsung,Mali G76 MP5,49
2022-11-07,60,Helio G99,MediaTek,Mali-G57 MC2,47
2022-11-07,61,Snapdragon 750G,Qualcomm,Adreno 619,47
2022-11-07,64,Snapdragon 732G,Qualcomm,Adreno 618,45
2022-11-07,65,Exynos 880,Samsung,Mali G76 MP5,45
2022-11-07,68,Dimensity 720,MediaTek,Mali-G57 MC3,44
2022-11-07,69,Snapdragon 690,Qualcomm,Adreno 619L,44
2022-11-07,77,Helio G96,MediaTek,Mali G57 MC2,41
2022-11-07,78,A10 Fusion,Apple,PowerVR GT7600,41
2022-11-07,103,Helio G70,MediaTek,Mali-G52 2EEMC2,31
2022-11-07,104,Snapdragon 665,Qualcomm,Adreno 610,31
2022-11-07,112,Exynos 850,Samsung,Mali-G52 MP1,29
2022-11-07,113,Snapdragon 460,Qualcomm,Adreno 610,29
2022-11-07,116,Tiger T610,Unisoc,ARM Mali G52 MP2,28
2022-11-07,117,Helio P60,MediaTek,Mali-G72 MP3,28
2022-11-07,8,Snapdragon 888 Plus,Qualcomm,Adreno 660,91
2022-11-07,9,Exynos 2200,Samsung,Samsung Xclipse 920,90
2022-11-07,34,Snapdragon 855,Qualcomm,Adreno 640,64
2022-11-07,35,Exynos 9825,Samsung,Mali G76 MP12,63
2022-11-07,38,Kirin 990 (4G),HiSilicon,Mali G76 MP16,62
2022-11-07,39,Exynos 9820,Samsung,Mali G76 MP12,61
2022-11-07,73,Snapdragon 730G,Qualcomm,Adreno 618,43
2022-11-07,74,Helio G90T,MediaTek,Mali-G76 MC4,42
2022-11-07,81,Snapdragon 680,Qualcomm,Adreno 610,39
2022-11-07,82,Exynos 8895,Samsung,Mali-G71 MP20,39
2022-11-07,86,Helio P90,MediaTek,PowerVR GM9446,35
2022-11-07,87,Tiger T618,Unisoc,ARM Mali-G52 MP2,34
2022-11-07,94,Exynos 9611,Samsung,Mali-G72 MP3,33
2022-11-07,95,Kirin 960,HiSilicon,Mali-G71 MP8,33
2022-11-07,99,Snapdragon 821,Qualcomm,Adreno 530,32
2022-11-07,100,Exynos 8890,Samsung,Mali-T880 MP12,32
2022-11-07,124,Exynos 7904,Samsung,Mali-G71 MP2,25
2022-11-07,125,Helio P35,MediaTek,IMG PowerVR GE8320,25
2022-11-07,17,Snapdragon 870,Qualcomm,Adreno 650,78
2022-11-07,18,Kirin 9000E,HiSilicon,Mali-G78 MP22,78
2022-08-11,58,Kirin 810,HiSilicon,Mali-G52 MP6,47
2022-08-11,67,Helio G95,MediaTek,Mali-G76 3EEMC4,43
2022-08-11,72,Snapdragon 835,Qualcomm,Adreno 540,42
2022-08-11,78,Exynos 8895,Samsung,Mali-G71 MP20,39
2022-08-11,88,Helio G80,MediaTek,Mali-G52 MP2,33
2022-08-11,93,Tiger T616,Unisoc,Mali-G57 MP1,32
2022-08-11,96,Tiger T700,Unisoc,ARM Mali-G52 MC2,31
2022-08-11,98,Helio G70,MediaTek,Mali-G52 2EEMC2,31
2022-08-11,24,Dimensity 1100,MediaTek,Mali-G77 MC9,71
2022-08-11,63,Dimensity 700,MediaTek,Mali-G57 MC2,44
2022-08-11,81,Snapdragon 710,Qualcomm,Adreno 616,36
2022-08-11,84,Snapdragon 820,Qualcomm,Adreno 530,34
2022-08-11,101,Snapdragon 665,Qualcomm,Adreno 610,31
2022-08-11,122,Snapdragon 630,Qualcomm,Adreno 508,24
2022-08-11,13,Exynos 2100,Samsung,Mali-G78 MP14,83
2022-08-11,43,Exynos 1280,Samsung,Mali-G68,55
2022-08-11,82,Helio P90,MediaTek,PowerVR GM9446,35
2022-08-11,50,A11 Bionic,Apple,Apple GPU,51
2022-08-11,74,A10 Fusion,Apple,PowerVR GT7600,41
2022-08-11,44,Kirin 820,HiSilicon,Mali-G57 MP6,55
2022-08-11,57,Snapdragon 750G,Qualcomm,Adreno 619,47
2022-08-11,89,Helio P95,MediaTek,PowerVR GM9446,33
2022-08-11,64,Dimensity 720,MediaTek,Mali-G57 MC3,44
2022-08-11,51,Exynos 9810,Samsung,Mali-G72MP18,51
2022-08-11,69,Snapdragon 730G,Qualcomm,Adreno 618,43
2022-08-11,56,Snapdragon 765,Qualcomm,Adreno 620,48
2022-08-11,94,Exynos 9609,Samsung,Mali-G72 MP3,32
2022-08-11,1,A15 Bionic,Apple,Apple GPU,98
2022-08-11,4,Dimensity 9000,MediaTek,Mali-G710,96
2022-08-11,11,Google Tensor,Google,Mali-G78 MP20,85
2022-08-11,17,Exynos 1080,Samsung,Mali-G78 MP10,78
2022-08-11,68,Helio G90,MediaTek,Mali-G76 MC4,43
2022-08-11,104,Helio P70,MediaTek,Mali-G72 MP3,30
2022-08-11,27,A12 Bionic,Apple,Apple A12 Bionic GPU,69
2022-08-11,77,Kirin 970,HiSilicon,Mali G72 MP12,39
2022-08-11,36,Exynos 9820,Samsung,Mali G76 MP12,61
2022-08-11,106,Exynos 9610,Samsung,Mali-G72 MP3,30
2022-08-11,3,Snapdragon 8 Plus Gen 1,Qualcomm,Adreno 730,97
2022-08-11,80,Snapdragon 678,Qualcomm,Adreno 612,36
2022-08-11,39,Exynos 9825,Samsung,Mali G76 MP12,59
2022-08-11,61,Exynos 880,Samsung,Mali G76 MP5,45
2022-08-11,5,Snapdragon 8 Gen 1,Qualcomm,Adreno 730,94
2022-08-11,108,Kirin 710A,HiSilicon,Mali-G51,29
2022-08-11,6,A14 Bionic,Apple,Apple GPU,92
2022-08-11,14,A13 Bionic,Apple,Apple A13 Bionic GPU,82
2022-08-11,25,Exynos 990,Samsung,Mali-G77 MP11,71
2022-08-11,53,Exynos 980,Samsung,Mali G76 MP5,49
2022-08-11,70,Helio G96,MediaTek,Mali G57 MC2,42
2022-08-11,71,Helio G90T,MediaTek,Mali-G76 MC4,42
2022-08-11,62,Snapdragon 480 Plus,Qualcomm,Adreno 619,44
2022-08-11,7,Snapdragon 888 Plus,Qualcomm,Adreno 660,91
2022-08-11,124,Helio A25,MediaTek,PowerVR GE8320,23
2022-08-11,86,Helio G88,MediaTek,Mali-G52 MC2,33
2022-08-11,8,Exynos 2200,Samsung,Samsung Xclipse 920,90
2022-08-11,87,Helio G85,MediaTek,Mali-G52 MP2,33
2022-08-11,73,Snapdragon 730,Qualcomm,Adreno 618,42
2022-08-11,10,Dimensity 8100,MediaTek,Mali-G610 MC6,88
2022-08-11,90,Exynos 9611,Samsung,Mali-G72 MP3,33
2022-08-11,112,Unisoc T606,Unisoc,Mali-G57 MP1,28
2022-08-11,79,Snapdragon 712,Qualcomm,Adreno 616,38
2022-08-11,12,Kirin 9000,HiSilicon,Mali-G78 MP24,85
2022-08-11,114,Helio P60,MediaTek,Mali-G72 MP3,28
2022-08-11,91,Kirin 960,HiSilicon,Mali-G71 MP8,33
2022-08-11,15,Snapdragon 870,Qualcomm,Adreno 650,78
2022-08-11,92,Snapdragon 670,Qualcomm,Adreno 615,33
2022-08-11,85,Snapdragon 675,Qualcomm,Adreno 612,34
2022-08-11,110,Snapdragon 460,Qualcomm,Adreno 610,29
2022-08-11,95,Exynos 8890,Samsung,Mali-T880 MP12,32
2022-08-11,16,Kirin 9000E,HiSilicon,Mali-G78 MP22,78
2022-08-11,99,Apple A9,Apple,PowerVR GT7600,31
2022-08-11,18,Snapdragon 865 Plus,Qualcomm,Adreno 650,78
2022-08-11,97,Snapdragon 662,Qualcomm,Adreno 610,31
2022-08-11,103,Helio P65,MediaTek,Mali-G52 MC2,30
2022-08-11,21,Dimensity 8000,MediaTek,Mali-G610 MC6,76
2022-08-11,100,Snapdragon 821,Qualcomm,Adreno 530,31
2022-08-11,105,Kirin 710,HiSilicon,Mali-G51 MP4,30
2022-08-11,22,Snapdragon 865,Qualcomm,Adreno 650,74
2022-08-11,102,Kirin 710F,HiSilicon,Mali-G51 MP4,30
2022-08-11,23,Snapdragon 7 Gen 1,Qualcomm,Adreno 662,72
2022-08-11,107,Tiger T612,Unisoc,Mali-G57 MP1,29
2022-08-11,29,Snapdragon 855 Plus,Qualcomm,Adreno 640,66
2022-08-11,120,Helio P35,MediaTek,IMG PowerVR GE8320,25
2022-08-11,109,Exynos 850,Samsung,Mali-G52 MP1,29
2022-08-11,30,Kirin 990 (5G),HiSilicon,Mali G76 MP16,65
2022-08-11,113,Tiger T610,Unisoc,ARM Mali G52 MP2,28
2022-08-11,33,Snapdragon 855,Qualcomm,Adreno 640,64
2022-08-11,115,Helio G37,MediaTek,PowerVR GE8320,27
2022-08-11,35,Kirin 990 (4G),HiSilicon,Mali G76 MP16,62
2022-08-11,119,Exynos 7904,Samsung,Mali-G71 MP2,25
2022-08-11,40,Dimensity 1000L,MediaTek,Mali-G77 MC9,57
2022-08-11,41,Kirin 985,HiSilicon,Mali-G77 MP8,56
2022-08-11,121,Exynos 7885,Samsung,Mali-G71 MP2,24
2022-08-11,123,Kirin 950,HiSilicon,Mali-T880 MP4,24
2022-08-11,46,Snapdragon 768G,Qualcomm,Adreno 620,54
2022-08-11,47,Dimensity 900,MediaTek,Mali-G68 MC4,53
2022-08-11,2,Dimensity 9000 Plus,MediaTek,Mali-G710 MC10,97
2022-08-11,52,Dimensity 800U,MediaTek,Mali-G57 MC3,49
2022-08-11,9,Snapdragon 888,Qualcomm,Adreno 660,90
2022-08-11,55,Dimensity 810,MediaTek,Mali-G57 MC2,48
2022-08-11,19,Dimensity 1300,MediaTek,Mali-G77 MC9,77
2022-08-11,125,Helio G25,MediaTek,IMG PowerVR GE8320,23
2022-08-11,20,Dimensity 1200,MediaTek,Mali-G77 MC9,77
2022-08-11,26,Dimensity 1000 Plus,MediaTek,Mali-G77 MC9,69
2022-08-11,28,Snapdragon 860,Qualcomm,Adreno 640,67
2022-08-11,31,Snapdragon 778G Plus,Qualcomm,Adreno 642L,64
2022-08-11,32,Snapdragon 780G,Qualcomm,Adreno 642,64
2022-08-11,34,Snapdragon 778G,Qualcomm,Adreno 642L,62
2022-08-11,37,Dimensity 920,MediaTek,Mali-G68 MC4,60
2022-08-11,38,Dimensity 1000,MediaTek,Mali-G77 MP9,60
2022-08-11,42,Kirin 980,HiSilicon,Mali G76 MP10,56
2022-08-11,45,Dimensity 820,MediaTek,Mali-G57 MC5,54
2022-08-11,48,Snapdragon 845,Qualcomm,Adreno 630,52
2022-08-11,49,Snapdragon 695,Qualcomm,Adreno 619,51
2022-08-11,54,Snapdragon 765G,Qualcomm,Adreno 620,49
2022-08-11,59,Dimensity 800,MediaTek,Mali-G57 MC4,46
2022-08-11,60,Snapdragon 732G,Qualcomm,Adreno 618,45
2022-08-11,65,Snapdragon 690,Qualcomm,Adreno 619L,44
2022-08-11,66,Snapdragon 720G,Qualcomm,Adreno 618,44
2022-08-11,75,Snapdragon 480,Qualcomm,Adreno 619,40
2022-08-11,76,Snapdragon 680,Qualcomm,Adreno 610,39
2022-08-11,83,Tiger T618,Unisoc,ARM Mali-G52 MP2,34
2022-08-11,111,Snapdragon 660,Qualcomm,Adreno 512,29
2022-08-11,116,Snapdragon 636,Qualcomm,Adreno 509,26
2022-08-11,117,Snapdragon 632,Qualcomm,Adreno 506,26
2022-08-11,118,Helio G35,MediaTek,IMG PowerVR GE8320,25
2022-09-13,79,Snapdragon 680,Qualcomm,Adreno 610,38
2022-09-13,80,Snapdragon 712,Qualcomm,Adreno 616,38
2022-09-13,81,Snapdragon 678,Qualcomm,Adreno 612,36
2022-09-13,82,Snapdragon 710,Qualcomm,Adreno 616,36
2022-09-13,83,Tiger T618,Unisoc,ARM Mali-G52 MP2,34
2022-09-13,84,Snapdragon 820,Qualcomm,Adreno 530,34
2022-09-13,85,Snapdragon 675,Qualcomm,Adreno 612,34
2022-09-13,86,Helio P90,MediaTek,PowerVR GM9446,34
2022-09-13,87,Helio G88,MediaTek,Mali-G52 MC2,33
2022-09-13,88,Helio G85,MediaTek,Mali-G52 MP2,33
2022-09-13,89,Helio G80,MediaTek,Mali-G52 MP2,33
2022-09-13,1,A16 Bionic,Apple,Apple GPU,100
2022-09-13,2,A15 Bionic,Apple,Apple GPU,98
2022-09-13,3,Dimensity 9000 Plus,MediaTek,Mali-G710 MC10,97
2022-09-13,20,Dimensity 1200,MediaTek,Mali-G77 MC9,77
2022-09-13,21,Dimensity 1300,MediaTek,Mali-G77 MC9,76
2022-09-13,22,Dimensity 8000,MediaTek,Mali-G610 MC6,76
2022-09-13,23,Snapdragon 865,Qualcomm,Adreno 650,74
2022-09-13,47,Dimensity 900,MediaTek,Mali-G68 MC4,53
2022-09-13,48,Snapdragon 768G,Qualcomm,Adreno 620,53
2022-09-13,49,Snapdragon 845,Qualcomm,Adreno 630,52
2022-09-13,50,Snapdragon 695,Qualcomm,Adreno 619,51
2022-09-13,55,Dimensity 810,MediaTek,Mali-G57 MC2,48
2022-09-13,56,Dimensity 800U,MediaTek,Mali-G57 MC3,48
2022-09-13,57,Snapdragon 765,Qualcomm,Adreno 620,48
2022-09-13,58,Snapdragon 750G,Qualcomm,Adreno 619,47
2022-09-13,32,Snapdragon 778G Plus,Qualcomm,Adreno 642L,64
2022-09-13,33,Snapdragon 780G,Qualcomm,Adreno 642,64
2022-09-13,34,Snapdragon 855,Qualcomm,Adreno 640,63
2022-09-13,35,Snapdragon 778G,Qualcomm,Adreno 642L,62
2022-09-13,40,Exynos 9825,Samsung,Mali G76 MP12,59
2022-09-13,41,Dimensity 1000L,MediaTek,Mali-G77 MC9,57
2022-09-13,42,Kirin 985,HiSilicon,Mali-G77 MP8,56
2022-09-13,63,Snapdragon 480 Plus,Qualcomm,Adreno 619,44
2022-09-13,64,Dimensity 700,MediaTek,Mali-G57 MC2,44
2022-09-13,65,Dimensity 720,MediaTek,Mali-G57 MC3,44
2022-09-13,66,Snapdragon 690,Qualcomm,Adreno 619L,44
2022-09-13,67,Snapdragon 720G,Qualcomm,Adreno 618,44
2022-09-13,68,Helio G95,MediaTek,Mali-G76 3EEMC4,43
2022-09-13,69,Helio G90,MediaTek,Mali-G76 MC4,43
2022-09-13,70,Snapdragon 730G,Qualcomm,Adreno 618,43
2022-09-13,71,Helio G96,MediaTek,Mali G57 MC2,42
2022-09-13,72,Snapdragon 835,Qualcomm,Adreno 540,42
2022-09-13,73,Snapdragon 730,Qualcomm,Adreno 618,42
2022-09-13,74,Helio G90T,MediaTek,Mali-G76 MC4,41
2022-09-13,98,Snapdragon 662,Qualcomm,Adreno 610,31
2022-09-13,99,Helio G70,MediaTek,Mali-G52 2EEMC2,31
2022-09-13,100,Apple A9,Apple,PowerVR GT7600,31
2022-09-13,101,Snapdragon 821,Qualcomm,Adreno 530,31
2022-09-13,4,Snapdragon 8 Plus Gen 1,Qualcomm,Adreno 730,97
2022-09-13,5,Dimensity 9000,MediaTek,Mali-G710,96
2022-09-13,6,Snapdragon 8 Gen 1,Qualcomm,Adreno 730,94
2022-09-13,7,A14 Bionic,Apple,Apple GPU,92
2022-09-13,8,Snapdragon 888 Plus,Qualcomm,Adreno 660,91
2022-09-13,9,Exynos 2200,Samsung,Samsung Xclipse 920,90
2022-09-13,10,Snapdragon 888,Qualcomm,Adreno 660,90
2022-09-13,11,Dimensity 8100,MediaTek,Mali-G610 MC6,87
2022-09-13,12,Google Tensor,Google,Mali-G78 MP20,85
2022-09-13,13,Kirin 9000,HiSilicon,Mali-G78 MP24,85
2022-09-13,14,Exynos 2100,Samsung,Mali-G78 MP14,82
2022-09-13,15,A13 Bionic,Apple,Apple A13 Bionic GPU,81
2022-09-13,16,Snapdragon 870,Qualcomm,Adreno 650,78
2022-09-13,17,Kirin 9000E,HiSilicon,Mali-G78 MP22,78
2022-09-13,18,Exynos 1080,Samsung,Mali-G78 MP10,78
2022-09-13,19,Snapdragon 865 Plus,Qualcomm,Adreno 650,78
2022-09-13,36,Kirin 990 (4G),HiSilicon,Mali G76 MP16,61
2022-09-13,37,Exynos 9820,Samsung,Mali G76 MP12,61
2022-09-13,38,Dimensity 920,MediaTek,Mali-G68 MC4,59
2022-09-13,39,Dimensity 1000,MediaTek,Mali-G77 MP9,59
2022-09-13,43,Kirin 980,HiSilicon,Mali G76 MP10,56
2022-09-13,44,Exynos 1280,Samsung,Mali-G68,55
2022-09-13,45,Kirin 820,HiSilicon,Mali-G57 MP6,55
2022-09-13,46,Dimensity 820,MediaTek,Mali-G57 MC5,54
2022-09-13,51,A11 Bionic,Apple,Apple GPU,51
2022-09-13,52,Exynos 9810,Samsung,Mali-G72MP18,50
2022-09-13,53,Exynos 980,Samsung,Mali G76 MP5,49
2022-09-13,54,Snapdragon 765G,Qualcomm,Adreno 620,49
2022-09-13,59,Kirin 810,HiSilicon,Mali-G52 MP6,47
2022-09-13,60,Dimensity 800,MediaTek,Mali-G57 MC4,46
2022-09-13,61,Snapdragon 732G,Qualcomm,Adreno 618,45
2022-09-13,62,Exynos 880,Samsung,Mali G76 MP5,45
2022-09-13,90,Helio P95,MediaTek,PowerVR GM9446,33
2022-09-13,91,Exynos 9611,Samsung,Mali-G72 MP3,33
2022-09-13,92,Kirin 960,HiSilicon,Mali-G71 MP8,33
2022-09-13,93,Exynos 9609,Samsung,Mali-G72 MP3,32
2022-09-13,94,Snapdragon 670,Qualcomm,Adreno 615,32
2022-09-13,95,Exynos 8890,Samsung,Mali-T880 MP12,32
2022-09-13,96,Tiger T616,Unisoc,Mali-G57 MP1,31
2022-09-13,97,Tiger T700,Unisoc,ARM Mali-G52 MC2,31
2022-09-13,102,Snapdragon 665,Qualcomm,Adreno 610,31
2022-09-13,103,Kirin 710F,HiSilicon,Mali-G51 MP4,30
2022-09-13,104,Helio P65,MediaTek,Mali-G52 MC2,30
2022-09-13,105,Helio P70,MediaTek,Mali-G72 MP3,30
2022-09-13,106,Exynos 9610,Samsung,Mali-G72 MP3,30
2022-09-13,107,Tiger T612,Unisoc,Mali-G57 MP1,29
2022-09-13,108,Kirin 710A,HiSilicon,Mali-G51,29
2022-09-13,109,Exynos 850,Samsung,Mali-G52 MP1,29
2022-09-13,110,Snapdragon 460,Qualcomm,Adreno 610,29
2022-09-13,111,Kirin 710,HiSilicon,Mali-G51 MP4,29
2022-09-13,112,Snapdragon 660,Qualcomm,Adreno 512,29
2022-09-13,113,Unisoc T606,Unisoc,Mali-G57 MP1,28
2022-09-13,114,Tiger T610,Unisoc,ARM Mali G52 MP2,28
2022-09-13,115,Helio P60,MediaTek,Mali-G72 MP3,28
2022-09-13,116,Helio G37,MediaTek,PowerVR GE8320,26
2022-09-13,117,Snapdragon 636,Qualcomm,Adreno 509,26
2022-09-13,118,Snapdragon 632,Qualcomm,Adreno 506,26
2022-09-13,119,Helio G35,MediaTek,IMG PowerVR GE8320,25
2022-09-13,120,Exynos 7904,Samsung,Mali-G71 MP2,25
2022-09-13,121,Helio P35,MediaTek,IMG PowerVR GE8320,25
2022-09-13,24,Snapdragon 7 Gen 1,Qualcomm,Adreno 662,71
2022-09-13,25,Dimensity 1100,MediaTek,Mali-G77 MC9,71
2022-09-13,26,Exynos 990,Samsung,Mali-G77 MP11,71
2022-09-13,27,Dimensity 1000 Plus,MediaTek,Mali-G77 MC9,69
2022-09-13,28,A12 Bionic,Apple,Apple A12 Bionic GPU,69
2022-09-13,29,Snapdragon 860,Qualcomm,Adreno 640,67
2022-09-13,30,Snapdragon 855 Plus,Qualcomm,Adreno 640,66
2022-09-13,31,Kirin 990 (5G),HiSilicon,Mali G76 MP16,65
2022-09-13,75,Snapdragon 480,Qualcomm,Adreno 619,40
2022-09-13,76,A10 Fusion,Apple,PowerVR GT7600,40
2022-09-13,77,Kirin 970,HiSilicon,Mali G72 MP12,39
2022-09-13,78,Exynos 8895,Samsung,Mali-G71 MP20,39
2022-09-13,122,Exynos 7885,Samsung,Mali-G71 MP2,24
2022-09-13,123,Snapdragon 630,Qualcomm,Adreno 508,24
2022-09-13,124,Kirin 950,HiSilicon,Mali-T880 MP4,24
2022-09-13,125,Helio A25,MediaTek,PowerVR GE8320,23
2022-10-07,7,A14 Bionic,Apple,Apple GPU,92
2022-10-07,13,Kirin 9000,HiSilicon,Mali-G78 MP24,85
2022-10-07,15,A13 Bionic,Apple,Apple A13 Bionic GPU,82
2022-10-07,28,A12 Bionic,Apple,Apple A12 Bionic GPU,68
